use,gen,Dishwasher,Furnace,Home office,test,Fridge,high_consum
62.64778333,0.198416666,0.003817199,23.59128333,14.50885,1,2.271666668,1
55.09001667,0.2053,0.005950334,27.40245,2.597616666,1,4.531316666,1
42.88416667,0.2069,0.0025504,22.3302,2.604966664,1,3.569133336,0
57.60076667,0.206849998,0.008300236,36.98221666,3.900833334,1,3.624716667,1
38.39018333,0.206350001,0.003617102,20.63055,2.603499996,1,2.10635,0
73.16496667,0.205550003,0.004333135,51.64023333,2.594283332,1,3.079683333,1
47.92483334,0.205349997,0.0050337,27.3113,2.596050003,1,3.561616673,0
32.22328333,0.205133336,0.005233765,16.21315,2.56995,1,2.923449996,0
21.5026,0.389049996,0.0003674,5.076383336,2.506683333,1,2.65668333,0
45.40321667,6.891966668,0.003866768,13.90035,2.503300002,1,1.603216669,0
88.23483334,3.09445,0.006383334,40.85393333,2.491016669,1,2.62846667,1
79.29818334,1.123266667,0.006783603,30.66300001,5.68283333,1,7.272116665,1
115.0013167,1.222766667,0.006116932,28.04883334,2.479183331,1,7.10358333,1
125.7233833,1.619416672,0.015200268,37.35105,2.492933336,1,6.823166667,1
78.2594,1.300900004,29.26215,15.73628334,2.488466668,1,7.005850002,1
76.2767,0.139699968,30.11588333,20.18421667,2.45285,1,6.536549999,1
89.09918334,0.196333333,0.051399936,26.49693333,2.5136,1,6.472250001,1
115.7258,0.205283331,0.006266701,26.70371667,2.5385,1,6.772850001,1
121.8189,0.203216666,0.003916933,20.90393333,2.543366664,1,14.19763333,1
165.5063167,0.192866661,0.005150201,29.90061666,4.895583335,1,8.948349999,1
85.87201666,0.198916664,0.006616868,24.42063334,16.53518333,1,0.549466667,1
56.717,0.203900003,0.0012676,10.24865,27.90596667,1,4.75595,0
46.45626667,0.205966662,0.002934332,10.05256666,25.3264,1,0.290300004,0
89.34038334,0.194649999,31.16941687,27.42546667,5.4378,1,2.398566661,1
80.96408334,0.204316668,25.44131667,31.67443333,3.055216669,1,4.760400001,1
46.17923333,0.205883335,6.377899968,23.38373333,3.06478333,1,0.303716664,0
47.04328333,0.205716665,0.017816664,21.57793334,3.047400002,1,7.479416667,0
59.66803333,0.205716665,0.008616603,41.97686667,3.310433334,1,0.296383329,1
46.71395,0.204133331,0.014183235,24.51108334,3.085383335,1,5.524866668,0
48.87883333,0.204283333,0.0153167,31.49173333,3.051566662,1,0.361999998,0
55.3359,0.204083334,0.015133165,32.59288333,3.061316665,1,4.81783333,0
96.66231667,0.229116662,0.010416669,59.19673334,2.955383333,1,0.361066668,1
83.65685,2.594299999,0.011466501,47.88168333,2.985933329,1,5.081266665,1
43.4526,3.131150001,0.003433733,22.77345,2.92453333,1,0.646516668,0
43.91285,13.9192,0.009233535,35.34806667,2.959549996,1,4.193549996,0
17.2146,22.03933333,0.005800368,19.21245,2.95093333,1,2.176466666,0
15.62488333,21.27478333,0.006200269,16.75828333,2.951783338,1,2.231533335,0
37.8279,8.446183334,0.006566867,18.08361667,2.946200001,1,5.474249999,0
97.48821667,1.101816666,0.003200135,23.89898334,2.920250002,1,0.542666662,1
106.0331,0.303099968,0.00896673,44.79771667,3.367916671,1,4.25246667,1
129.43495,0.178600002,0.004766934,34.45696667,5.441483334,1,1.253266667,1
175.4548833,0.201650003,0.003516966,28.70728333,5.925233331,1,3.457400003,1
176.0826167,0.201633334,0.005166665,23.39013334,5.464083334,1,4.69403333,1
104.28015,0.201516673,0.002900833,12.79666667,5.485399998,1,7.786716666,1
124.4315833,0.200283334,25.79330007,24.43343334,18.17443333,1,14.66711667,1
96.7258,0.202150005,27.2114,14.12663333,28.8791,1,7.771683334,1
47.90091666,0.203183326,0.036149983,5.009266667,26.71496667,1,0.29,0
59.87496667,0.18625,0.012749932,13.53216667,11.04843333,1,6.47405,1
42.81938333,0.184316669,0.013449903,25.9619,2.546483334,1,1.494350001,0
52.15161667,0.183866666,0.013666566,24.8269,2.543033335,1,5.791416668,1
54.29215,0.196499998,0.012800069,31.27446667,2.542033333,1,1.47038333,1
47.43303333,0.198133334,0.014866605,25.924,2.539266665,1,4.798150003,0
47.60418333,0.198883331,0.013883234,31.30751667,2.543099998,1,0.309750003,0
49.07903334,0.198266665,0.014333467,27.93973334,2.540883335,1,4.455100003,0
52.6645,0.185816665,0.014883302,34.45636667,2.534633332,1,1.462066669,0
74.70233333,0.118700003,0.010400172,46.86886667,2.44031667,1,3.1835,1
44.33114999,1.685866668,0.002900201,25.66178333,2.426949997,1,3.566050001,0
41.1853,13.17093334,0.010266832,38.41251667,2.446766668,1,1.230833332,0
42.91101667,13.45458334,0.006383569,26.33353333,2.439033333,1,4.589566665,0
74.01516667,12.08061667,22.45616674,17.60058333,2.4497,1,0.338,1
68.4955,16.55183333,29.79573333,9.418183333,2.4464,1,4.274516671,1
47.01421667,9.028633328,0.044383198,27.11803333,2.447566665,1,2.443383333,0
46.57515,2.545733331,0.004500266,25.85591666,2.42546667,1,2.540266667,0
82.29816667,2.462199999,0.0132666,38.82826667,2.817266664,1,5.859266667,1
113.1746333,0.230683332,0.004800135,33.53485,4.897216668,1,1.26195,1
123.1618167,0.210933335,0.003899533,28.73455,26.6443,1,5.327949995,1
114.0063667,0.201550004,0.0015836,23.6744,34.09141667,1,0.762966667,1
97.65613334,0.201850003,0.0023503,23.42261667,10.52313333,1,6.100149999,1
92.32088333,0.222150002,0.0020673,20.67745,12.72773334,1,0.495833333,1
65.7666,0.202833337,0.0009845,4.999666673,29.2144,1,5.616383332,0
42.0279,0.204083332,0.0009345,5.135916664,26.55080001,1,0.289216674,0
55.54405,0.196216669,0.004767134,15.25681666,9.9806,1,4.866266668,0
33.55243333,0.205183333,0.0048839,19.66733333,2.549983333,1,0.308000005,0
45.16451667,0.203999998,0.005266901,24.68828334,2.547399999,1,4.494083329,0
40.17145,0.202866661,0.002817301,23.95105,2.542833335,1,1.11768333,0
55.5461,0.202516669,0.005483802,34.80318333,2.54025,1,3.261499998,1
47.85403333,0.201000001,0.004383533,29.85155,2.543599998,1,2.740600002,0
72.91248334,0.200616665,0.003216599,50.03526667,2.530333331,1,1.668733332,1
61.3512,0.199316668,0.003383933,34.09523333,2.533949998,1,4.193233336,0
40.48165,0.139683334,0.008867,24.49633334,2.45943333,1,0.618250003,0
34.14286666,2.437800001,0.002283968,14.1284,2.424316668,1,4.200816668,0
67.21038333,7.587466672,0.004266869,30.1022,2.429066667,1,0.487166671,1
96.7337,17.2843,23.64878346,27.69661666,5.849816666,1,7.40441667,1
65.72058333,18.13363333,24.78828333,23.86846666,6.102466667,1,1.575999998,1
59.00915,10.58778333,10.3289666,25.03278334,4.723650001,1,0.868033335,1
37.43223333,22.63453333,0.005217033,14.19003334,7.533666665,1,6.587200001,0
28.51051667,17.64766667,0.0047174,13.40666666,3.965850002,1,0.342083334,0
38.36853333,8.952050002,0.002867333,9.6745,6.993700001,1,4.440666668,0
73.64245,0.284366665,0.017966868,38.47873333,8.401250003,1,3.030700003,0
123.8046167,0.196433333,0.019633569,56.96215,11.503,1,0.297633337,1
125.76155,0.196666664,0.008366668,40.50851667,11.47963333,1,6.012033331,1
78.93561667,0.192883335,0.007000362,39.04955,3.144283332,1,1.072633332,0
115.6399833,0.19646666,0.0072831,42.23965,16.40866667,1,7.53948333,1
141.6105667,0.198700004,0.0022341,14.72975,27.86891667,1,6.773366669,1
143.35365,0.203749999,0.005899932,31.81186667,19.27125,1,14.7795,1
102.2295333,0.201650001,21.10573343,38.75381667,3.924249997,1,2.728416667,1
87.20176666,0.199766663,26.74658333,43.07735,2.550216667,1,0.281883331,1
79.81911667,0.200516663,24.9468833,37.22353334,2.552499998,1,1.858750003,1
61.86613333,0.201399998,0.011283402,39.28041666,2.543499999,1,4.335683331,1
59.46313333,0.200166665,0.012533473,42.99188333,2.539866664,1,0.390983333,1
68.47685,0.199899997,0.012716671,45.45993333,2.535233334,1,4.849716673,1
82.1369,0.199133338,0.011416712,63.15345,2.535833332,1,0.303766668,1
72.87178333,0.196666665,0.013450002,49.60525,2.527600001,1,4.930900005,1
77.43061666,0.148733364,0.008899833,31.97346666,2.457266667,1,0.536249999,1
63.44705,1.920833335,0.003283802,21.71616667,2.439383332,1,5.371299998,1
37.51048333,14.22563334,0.009983436,33.49913333,2.438766667,1,0.300616662,0
31.46198333,23.89250001,0.010416637,34.55413333,2.435016665,1,4.383483329,0
30.18993333,26.50776667,0.009350232,33.93378333,2.439100002,1,0.299250002,0
12.47958334,26.24065,0.007167036,18.92348334,2.439700001,1,5.250733334,0
15.66225,23.65315,0.008467035,20.8307,2.438900001,1,0.297599998,0
17.34103333,18.78126667,0.006417202,17.05139999,2.433266668,1,5.385933331,0
23.09051667,9.679566671,0.005850533,15.32331667,2.836299998,1,0.55165,0
56.74103333,0.284216666,0.011350072,27.727,4.945966671,1,3.638883334,0
76.22491667,0.180566669,0.0052501,38.85091667,7.521916666,1,1.878399998,0
62.78443333,0.201616668,0.003800433,35.3053,10.13316667,1,2.396450004,0
71.65845,0.201066667,0.004950767,41.55656666,11.15465,1,3.246700003,0
